lgaCode,lCode,schCode,progID,schName,id
2,660742704,114,1,"PERFECT SPLENDOUR NURSERY/PRIMARY/SCHOOL, OGWASHI-UKU",5045
2,660742704,115,1,"BENNY NURSERY/PRIMARY/SCHOOL, OGWASHI-UKU",5143
2,660742704,116,1,"CHOICE ICON NURSERY/PRIMARY/SCHOOL, OGWASHI-UKU",5210
2,660742704,117,1,"DELTA STATE POLYTECHNIC STAFF N/P/S, OGWASHI-UKU",5267
2,660742704,118,1,"SOPHINA NURSERY/PRIMARY/SCHOOL, OGWASHI-UKU",5292
2,660742704,119,1,"PRIME SCHOLARS NURSERY/PRIMARY/SCHOOL, AZAGBA-OGWASHI",5339
2,660742704,120,1,"ST. GABRIEL'S CATHOLIC NURSERY/PRIMARY SCHOOL, OTULU",5388
2,660742704,130,1,"GREAT KIDDIES NURSERY/PRIMARY/SCHOOL, AZAGBA-OGWASHI",5426
2,660742704,121,1,"HOLY FAMILY NURSERY/PRIMARY SCHOOL, OGWASHI-UKU",5522
2,660742704,122,1,"ONUIYI PRIMARY SCHOOL, ISHEAGU",5540
2,660742704,123,1,"ARNOLD NURSERY/PRIMARY SCHOOL, OGWASHI UKU",5616
2,660742704,124,1,"LIVING SEED CHRISTIAN NURSERY/PRIMARY SCHOOL, OGWASHI UKU",5617
2,660742704,125,1,"BENNEHILL NURSERY/PRIMARY SCHOOL, AZAGBA OGWASHI",5688
